VendorID,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration,pickup_hour,pickup_day,pickup_dayofweek,is_weekend,is_rush_hour
2,N,1,82,82,1,1.11,8.6,0.0,0.5,0.0,0.0,0.3,9.4,2,1,0.0,0.0,411.0,8,1,5,1,1
2,N,1,74,238,1,2.28,13.5,0.0,0.5,3.75,0.0,1.0,18.75,1,1,0.0,0.0,641.0,8,1,5,1,1
2,N,5,65,13,1,3.72,25.0,0.0,0.0,0.0,0.0,1.0,29.5,1,2,2.75,0.75,581.0,8,1,5,1,1
1,N,1,35,61,1,0.0,19.5,0.0,1.5,0.0,0.0,1.0,21.0,1,1,0.0,0.0,1016.0,8,1,5,1,1
2,N,1,74,236,1,2.33,13.5,0.0,0.5,3.55,0.0,1.0,21.3,1,1,2.75,0.0,637.0,8,1,5,1,1
2,N,1,41,24,1,0.84,7.9,0.0,0.5,1.88,0.0,1.0,11.28,1,1,0.0,0.0,407.0,8,1,5,1,1
2,N,1,95,102,5,1.5,10.0,0.0,0.5,2.3,0.0,1.0,13.8,1,1,0.0,0.0,519.0,8,1,5,1,1
2,N,1,7,260,1,1.53,10.7,0.0,0.5,0.0,0.0,1.0,12.2,2,1,0.0,0.0,548.0,9,1,5,1,1
2,N,1,75,74,1,1.55,11.4,0.0,0.5,3.87,0.0,1.0,16.77,1,1,0.0,0.0,590.0,9,1,5,1,1
2,N,1,95,95,1,0.08,3.7,0.0,0.5,0.0,0.0,1.0,5.2,2,1,0.0,0.0,60.0,9,1,5,1,1
2,N,1,223,260,1,2.75,12.8,0.0,0.5,2.86,0.0,1.0,17.16,1,1,0.0,0.0,285.0,9,1,5,1,1
2,N,1,74,236,1,1.82,11.4,0.0,0.5,3.13,0.0,1.0,18.78,1,1,2.75,0.0,545.0,9,1,5,1,1
2,N,1,74,75,1,1.27,9.3,0.0,0.5,2.16,0.0,1.0,12.96,1,1,0.0,0.0,410.0,9,1,5,1,1
2,N,1,74,166,1,1.99,13.5,0.0,0.5,4.5,0.0,1.0,19.5,1,1,0.0,0.0,737.0,9,1,5,1,1
2,N,1,74,237,1,3.18,18.4,0.0,0.5,1.5,0.0,1.0,24.15,1,1,2.75,0.0,886.0,9,1,5,1,1
2,N,1,82,138,1,4.01,17.7,5.0,0.5,4.84,0.0,1.0,29.04,1,1,0.0,0.0,510.0,9,1,5,1,1
2,N,1,82,138,1,3.88,17.0,5.0,0.5,4.7,0.0,1.0,28.2,1,1,0.0,0.0,460.0,9,1,5,1,1
2,N,1,75,263,1,1.0,7.2,0.0,0.5,2.29,0.0,1.0,13.74,1,1,2.75,0.0,272.0,9,1,5,1,1
2,N,1,130,205,1,3.32,17.0,0.0,0.5,0.0,0.0,1.0,18.5,1,1,0.0,0.0,709.0,9,1,5,1,1
2,N,1,75,42,1,2.55,17.7,0.0,0.5,3.84,0.0,1.0,23.04,1,1,0.0,0.0,1064.0,9,1,5,1,1
2,N,1,166,24,6,0.83,6.5,0.0,0.5,0.0,0.0,1.0,8.0,2,1,0.0,0.0,299.0,9,1,5,1,1
2,N,1,74,166,1,0.98,9.3,0.0,0.5,2.16,0.0,1.0,12.96,1,1,0.0,0.0,497.0,9,1,5,1,1
2,N,1,41,74,1,0.82,7.9,0.0,0.5,1.0,0.0,1.0,10.4,1,1,0.0,0.0,374.0,9,1,5,1,1
2,N,1,42,41,1,0.62,6.5,0.0,0.5,0.0,0.0,1.0,8.0,2,1,0.0,0.0,238.0,9,1,5,1,1
2,N,1,75,263,1,3.77,19.1,0.0,0.5,3.0,0.0,1.0,26.35,1,1,2.75,0.0,958.0,9,1,5,1,1
2,N,1,74,42,1,1.65,11.4,0.0,0.5,0.0,0.0,1.0,12.9,2,1,0.0,0.0,554.0,9,1,5,1,1
2,N,1,153,243,1,2.24,13.5,0.0,0.5,0.0,0.0,1.0,15.0,2,1,0.0,0.0,678.0,9,1,5,1,1
2,N,1,223,146,1,2.14,14.9,0.0,0.5,3.28,0.0,1.0,19.68,1,1,0.0,0.0,867.0,9,1,5,1,1
2,N,1,74,75,1,0.94,5.8,0.0,0.5,0.0,0.0,1.0,7.3,2,1,0.0,0.0,165.0,9,1,5,1,1
2,N,1,236,237,1,1.42,8.6,0.0,0.5,1.28,0.0,1.0,14.13,1,1,2.75,0.0,349.0,9,1,5,1,1
2,N,1,166,239,1,1.8,12.8,0.0,0.5,3.58,0.0,1.0,17.88,1,1,0.0,0.0,645.0,9,1,5,1,1
2,N,1,74,119,1,3.12,19.1,0.0,0.5,0.0,0.0,1.0,20.6,2,1,0.0,0.0,954.0,9,1,5,1,1
2,N,1,75,41,1,1.48,10.0,0.0,0.5,0.0,0.0,1.0,11.5,2,1,0.0,0.0,457.0,11,1,5,1,0
2,N,1,42,42,1,0.62,5.8,0.0,0.5,1.46,0.0,1.0,8.76,1,1,0.0,0.0,211.0,11,1,5,1,0
1,N,1,24,239,1,1.8,10.7,2.75,1.5,0.0,0.0,1.0,14.95,2,1,2.75,0.0,529.0,9,1,5,1,1
1,N,1,166,239,2,1.7,10.7,2.75,1.5,2.95,0.0,1.0,17.9,1,1,2.75,0.0,524.0,9,1,5,1,1
2,N,1,116,50,1,5.02,27.5,0.0,0.5,0.0,0.0,1.0,32.5,2,1,2.75,0.75,1404.0,9,1,5,1,1
2,N,1,65,256,1,2.93,17.0,0.0,0.5,1.8,0.0,1.0,20.3,1,1,0.0,0.0,826.0,9,1,5,1,1
2,N,1,74,236,1,1.85,10.0,0.0,0.5,0.0,0.0,1.0,14.25,2,1,2.75,0.0,445.0,9,1,5,1,1
2,N,1,65,65,1,0.27,4.4,0.0,0.5,5.1,0.0,1.0,11.0,1,1,0.0,0.0,145.0,9,1,5,1,1
2,N,1,92,175,1,4.47,25.4,0.0,0.5,0.0,0.0,1.0,26.9,1,1,0.0,0.0,1329.0,9,1,5,1,1
2,N,1,95,173,1,4.41,21.9,0.0,0.5,4.68,0.0,1.0,28.08,1,1,0.0,0.0,832.0,9,1,5,1,1
1,N,1,37,61,1,0.0,20.5,0.0,1.5,0.0,0.0,1.0,22.0,1,1,0.0,0.0,1240.0,9,1,5,1,1
2,N,1,74,166,1,1.95,13.5,0.0,0.5,3.0,0.0,1.0,18.0,1,1,0.0,0.0,751.0,9,1,5,1,1
2,N,1,41,236,1,1.69,11.4,0.0,0.5,0.08,0.0,1.0,15.73,1,1,2.75,0.0,536.0,9,1,5,1,1
